"","user_id","user_gender","user_age","age_group","country","location","interests","fitness","health","food","lifestyle","fashion","news","finance","photography","technology","travel","gaming","sports","art"
"1","a2474","Female",24,"18-24","United Kingdom","New Mariomouth","fitness, health",1,1,0,0,0,0,0,0,0,0,0,0,0
"2","141e5","Male",21,"18-24","Germany","Danielsfort","food, fitness, lifestyle",1,0,1,1,0,0,0,0,0,0,0,0,0
"3","34db0","Male",27,"25-34","Australia","Vincentchester","fashion, news",0,0,0,0,1,1,0,0,0,0,0,0,0
"4","20d08","Female",28,"25-34","India","Lisaport","health, news, finance",0,1,0,0,0,1,1,0,0,0,0,0,0
"5","9e830","Male",28,"25-34","United States","Brownmouth","health, photography, lifestyle",0,1,0,1,0,0,0,1,0,0,0,0,0
"6","cea78","Male",33,"25-34","Australia","North Chad","fitness",1,0,0,0,0,0,0,0,0,0,0,0,0
"7","8416b","Male",22,"18-24","Mexico","Gallagherbury","health, technology, news",0,1,0,0,0,1,0,0,1,0,0,0,0
"8","53afb","Male",31,"25-34","India","Chambersport","travel",0,0,0,0,0,0,0,0,0,1,0,0,0
"9","e3f22","Male",25,"25-34","Canada","West Phillip","fashion",0,0,0,0,1,0,0,0,0,0,0,0,0
"10","01820","Female",32,"25-34","Canada","West Carla","gaming, lifestyle",0,0,0,1,0,0,0,0,0,0,1,0,0
"11","73f8a","Male",19,"18-24","United Kingdom","Justinview","news, health",0,1,0,0,0,1,0,0,0,0,0,0,0
"12","a4089","Male",35,"35-44","Japan","Wardmouth","food",0,0,1,0,0,0,0,0,0,0,0,0,0
"13","b759f","Male",35,"35-44","Canada","Edwardsmouth","fashion",0,0,0,0,1,0,0,0,0,0,0,0,0
"14","b11c1","Female",27,"25-34","United States","New Steven","health",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","90619","Female",24,"18-24","Japan","Lake Courtneyfort","finance",0,0,0,0,0,0,1,0,0,0,0,0,0
"16","7332b","Female",20,"18-24","France","East Sierrafort","news, lifestyle, travel",0,0,0,1,0,1,0,0,0,1,0,0,0
"17","72304","Other",21,"18-24","India","South Ryanmouth","photography, sports",0,0,0,0,0,0,0,1,0,0,0,1,0
"18","7dfcf","Male",24,"18-24","United States","North Cindy","news, travel",0,0,0,0,0,1,0,0,0,1,0,0,0
"19","44b7d","Male",23,"18-24","United States","Knightton","finance",0,0,0,0,0,0,1,0,0,0,0,0,0
"20","e37ba","Other",23,"18-24","United Kingdom","East Adam","lifestyle, news, art",0,0,0,1,0,1,0,0,0,0,0,0,1
"21","027c7","Female",34,"25-34","Canada","Lake Cheryl","photography, lifestyle",0,0,0,1,0,0,0,1,0,0,0,0,0
"22","d2628","Other",33,"25-34","Japan","Port Elizabeth","travel, gaming",0,0,0,0,0,0,0,0,0,1,1,0,0
"23","73e4a","Male",30,"25-34","United States","Peterchester","gaming, health, photography",0,1,0,0,0,0,0,1,0,0,1,0,0
"24","b3c74","Female",31,"25-34","Germany","Port Kristina","lifestyle, art",0,0,0,1,0,0,0,0,0,0,0,0,1
"25","56b94","Male",25,"25-34","Canada","East Austin","fitness, photography",1,0,0,0,0,0,0,1,0,0,0,0,0
"26","f032e","Male",35,"35-44","United States","Port Christine","sports, finance",0,0,0,0,0,0,1,0,0,0,0,1,0
"27","2ac33","Female",29,"25-34","Brazil","South Carlaborough","fitness",1,0,0,0,0,0,0,0,0,0,0,0,0
"28","4ff04","Male",20,"18-24","India","Brandiland","fitness",1,0,0,0,0,0,0,0,0,0,0,0,0
"29","418c3","Female",38,"35-44","United States","East William","food, fitness",1,0,1,0,0,0,0,0,0,0,0,0,0
"30","fb5e6","Male",20,"18-24","United States","West Brandonshire","travel, technology",0,0,0,0,0,0,0,0,1,1,0,0,0
"31","f3538","Female",31,"25-34","Canada","Leeside","photography, travel, art",0,0,0,0,0,0,0,1,0,1,0,0,1
"32","79803","Male",37,"35-44","Canada","East Karen","travel",0,0,0,0,0,0,0,0,0,1,0,0,0
"33","62728","Male",25,"25-34","United States","South Michaelbury","art",0,0,0,0,0,0,0,0,0,0,0,0,1
"34","882de","Male",23,"18-24","Canada","Lake Monica","food",0,0,1,0,0,0,0,0,0,0,0,0,0
"35","7204f","Male",25,"25-34","Germany","Garciatown","finance",0,0,0,0,0,0,1,0,0,0,0,0,0
"36","287ba","Male",18,"18-24","Japan","Webbmouth","art",0,0,0,0,0,0,0,0,0,0,0,0,1
"37","0e025","Female",45,"45-54","Canada","Shawnhaven","fashion, health, news",0,1,0,0,1,1,0,0,0,0,0,0,0
"38","6a960","Female",23,"18-24","United States","East Wanda","fashion, gaming",0,0,0,0,1,0,0,0,0,0,1,0,0
"39","d915e","Female",23,"18-24","Canada","Port Nancy","technology",0,0,0,0,0,0,0,0,1,0,0,0,0
"40","d8071","Male",16,"16-17","Japan","Danielview","lifestyle, health, finance",0,1,0,1,0,0,1,0,0,0,0,0,0
"41","1a4dd","Male",34,"25-34","United States","Kingside","art, news",0,0,0,0,0,1,0,0,0,0,0,0,1
"42","f6fe8","Male",16,"16-17","India","Collierfurt","fashion, sports, fitness",1,0,0,0,1,0,0,0,0,0,0,1,0
"43","357ea","Male",31,"25-34","Brazil","Weaverfurt","travel, technology, news",0,0,0,0,0,1,0,0,1,1,0,0,0
"44","0ff2f","Female",28,"25-34","United States","Walterberg","photography",0,0,0,0,0,0,0,1,0,0,0,0,0
"45","816a3","Male",18,"18-24","Canada","South Lynn","sports, technology",0,0,0,0,0,0,0,0,1,0,0,1,0
"46","d209e","Male",20,"18-24","Canada","East Brett","health, sports",0,1,0,0,0,0,0,0,0,0,0,1,0
"47","b708c","Male",41,"35-44","Japan","West Jasonmouth","photography, sports",0,0,0,0,0,0,0,1,0,0,0,1,0
"48","57796","Male",22,"18-24","Canada","Hodgesstad","art, sports, food",0,0,1,0,0,0,0,0,0,0,0,1,1
"49","64a7b","Male",38,"35-44","Germany","Port Wandaville","travel, technology",0,0,0,0,0,0,0,0,1,1,0,0,0
"50","16e2b","Male",28,"25-34","United States","Port Rhonda","health, finance, travel",0,1,0,0,0,0,1,0,0,1,0,0,0
"51","5e657","Male",35,"35-44","United Kingdom","North Denise","health, fitness, fashion",1,1,0,0,1,0,0,0,0,0,0,0,0
"52","31a47","Male",23,"18-24","United States","Port Derek","food, finance, fashion",0,0,1,0,1,0,1,0,0,0,0,0,0
"53","81518","Female",20,"18-24","Germany","Stacymouth","fitness",1,0,0,0,0,0,0,0,0,0,0,0,0
"54","d684a","Male",28,"25-34","United States","New Deborah","health",0,1,0,0,0,0,0,0,0,0,0,0,0
"55","1592c","Male",18,"18-24","United Kingdom","West Carrie","finance, travel",0,0,0,0,0,0,1,0,0,1,0,0,0
"56","ffa49","Female",31,"25-34","United Kingdom","West Keith","fitness, art",1,0,0,0,0,0,0,0,0,0,0,0,1
"57","d5179","Female",25,"25-34","United States","New Leemouth","fitness",1,0,0,0,0,0,0,0,0,0,0,0,0
"58","3aadb","Male",45,"45-54","India","Matthewborough","finance, news, sports",0,0,0,0,0,1,1,0,0,0,0,1,0
"59","9e8a6","Male",16,"16-17","Germany","Port Kristin","news",0,0,0,0,0,1,0,0,0,0,0,0,0
"60","569f4","Female",32,"25-34","Australia","Frostton","gaming",0,0,0,0,0,0,0,0,0,0,1,0,0
"61","193ff","Other",18,"18-24","Australia","Port Ryan","fashion, finance",0,0,0,0,1,0,1,0,0,0,0,0,0
"62","f7ed0","Male",34,"25-34","Germany","North Henry","lifestyle, fitness",1,0,0,1,0,0,0,0,0,0,0,0,0
"63","10624","Female",16,"16-17","France","Gregport","travel, gaming",0,0,0,0,0,0,0,0,0,1,1,0,0
"64","6dbad","Female",26,"25-34","India","Davischester","fitness, travel, gaming",1,0,0,0,0,0,0,0,0,1,1,0,0
"65","db310","Male",65,"55-65","France","Lake Joseph","fitness",1,0,0,0,0,0,0,0,0,0,0,0,0
"66","722ab","Female",25,"25-34","Germany","West Anthonytown","art, fitness",1,0,0,0,0,0,0,0,0,0,0,0,1
"67","4515c","Female",43,"35-44","United States","Lake Matthew","gaming, sports, food",0,0,1,0,0,0,0,0,0,0,1,1,0
"68","02d20","Other",19,"18-24","Canada","Josephland","lifestyle, art",0,0,0,1,0,0,0,0,0,0,0,0,1
"69","f8d8a","Male",16,"16-17","United States","Lake Jason","travel, fitness",1,0,0,0,0,0,0,0,0,1,0,0,0
"70","3e340","Female",19,"18-24","Japan","Stephenland","finance, news, food",0,0,1,0,0,1,1,0,0,0,0,0,0
"71","25864","Male",20,"18-24","United Kingdom","Ashleyshire","food",0,0,1,0,0,0,0,0,0,0,0,0,0
"72","cf12b","Female",45,"45-54","United States","Port Margaret","health",0,1,0,0,0,0,0,0,0,0,0,0,0
"73","2cff5","Female",16,"16-17","United States","East Jessicamouth","travel, fitness, technology",1,0,0,0,0,0,0,0,1,1,0,0,0
"74","6ff56","Female",26,"25-34","United States","Christopherfort","photography, finance",0,0,0,0,0,0,1,1,0,0,0,0,0
