"","state","name"
"1","al","Alabama"
"2","ak","Alaska"
"3","az","Arizona"
"4","ar","Arkansas"
"5","ca","California"
"6","co","Colorado"
"7","ct","Connecticut"
"8","de","Delaware"
"9","fl","Florida"
"10","ga","Georgia"
"11","hi","Hawaii"
"12","id","Idaho"
"13","il","Illinois"
"14","in","Indiana"
"15","ia","Iowa"
"16","ks","Kansas"
"17","ky","Kentucky"
"18","la","Louisiana"
"19","me","Maine"
"20","md","Maryland"
"21","ma","Massachusetts"
"22","mi","Michigan"
"23","mn","Minnesota"
"24","ms","Mississippi"
"25","mo","Missouri"
"26","mt","Montana"
"27","ne","Nebraska"
"28","nv","Nevada"
"29","nh","New Hampshire"
"30","nj","New Jersey"
"31","nm","New Mexico"
"32","ny","New York"
"33","nc","North Carolina"
"34","nd","North Dakota"
"35","oh","Ohio"
"36","ok","Oklahoma"
"37","or","Oregon"
"38","pa","Pennsylvania"
"39","ri","Rhode Island"
"40","sc","South Carolina"
"41","sd","South Dakota"
"42","tn","Tennessee"
"43","tx","Texas"
"44","ut","Utah"
"45","vt","Vermont"
"46","va","Virginia"
"47","wa","Washington"
"48","wv","West Virginia"
"49","wi","Wisconsin"
"50","wy","Wyoming"
